"","Ancestor","Clan"
"596","modern Bacteria","PF04839"
"597","modern Bacteria","PF04888"
"598","modern Bacteria","PF04890"
"599","modern Bacteria","PF04891"
"600","modern Bacteria","PF04917"
"601","modern Bacteria","PF04957"
"602","modern Bacteria","PF04995"
"603","modern Bacteria","PF05071"
"604","modern Bacteria","PF05082"
"605","modern Bacteria","PF05095"
"606","modern Bacteria","CL0249"
"607","modern Bacteria","PF05103"
"608","modern Bacteria","CL0564"
"609","modern Bacteria","PF05108"
"610","modern Bacteria","PF05133"
"611","modern Bacteria","PF05151"
"612","modern Bacteria","PF05166"
"613","modern Bacteria","PF05215"
"614","modern Bacteria","PF05232"
"615","modern Bacteria","PF05233"
"616","modern Bacteria","PF05247"
"617","modern Bacteria","PF05256"
"618","modern Bacteria","PF05280"
"619","modern Bacteria","PF05284"
"620","modern Bacteria","PF05302"
"621","modern Bacteria","PF05305"
"622","modern Bacteria","PF05309"
"623","modern Bacteria","PF05321"
"624","modern Bacteria","PF05384"
"625","modern Bacteria","PF05389"
"626","modern Bacteria","PF05406"
"627","modern Bacteria","PF05419"
"628","modern Bacteria","PF05421"
"629","modern Bacteria","PF05423"
"630","modern Bacteria","CL0361"
"631","modern Bacteria","PF05472"
"632","modern Bacteria","PF05481"
"633","modern Bacteria","PF05504"
"634","modern Bacteria","PF05542"
"635","modern Bacteria","PF05545"
"636","modern Bacteria","PF05582"
"637","modern Bacteria","PF05595"
"638","modern Bacteria","PF05639"
"639","modern Bacteria","PF05650"
"640","modern Bacteria","PF05719"
"641","modern Bacteria","PF05745"
"642","modern Bacteria","PF05818"
"643","modern Bacteria","PF05926"
"644","modern Bacteria","PF05929"
"645","modern Bacteria","PF05939"
"646","modern Bacteria","PF05944"
"647","modern Bacteria","PF05949"
"648","modern Bacteria","PF05969"
"649","modern Bacteria","PF05975"
"650","modern Bacteria","PF05979"
"651","modern Bacteria","PF05981"
"652","modern Bacteria","PF06014"
"653","modern Bacteria","PF06051"
"654","modern Bacteria","PF06059"
"655","modern Bacteria","PF06062"
"656","modern Bacteria","PF06073"
"657","modern Bacteria","PF06092"
"658","modern Bacteria","PF06097"
"659","modern Bacteria","PF06099"
"660","modern Bacteria","PF06103"
"661","modern Bacteria","PF06122"
"662","modern Bacteria","CL0768"
"663","modern Bacteria","PF06133"
"664","modern Bacteria","PF06135"
"665","modern Bacteria","PF06152"
"666","modern Bacteria","PF06156"
"667","modern Bacteria","PF06160"
"668","modern Bacteria","PF06168"
"669","modern Bacteria","PF06169"
"670","modern Bacteria","PF06183"
"671","modern Bacteria","PF06186"
"672","modern Bacteria","PF06207"
"673","modern Bacteria","PF06213"
"674","modern Bacteria","PF06226"
"675","modern Bacteria","PF06233"
"676","modern Bacteria","PF06242"
"677","modern Bacteria","PF06265"
"678","modern Bacteria","PF06279"
"679","modern Bacteria","PF06282"
"680","modern Bacteria","PF06288"
"681","modern Bacteria","PF06295"
"682","modern Bacteria","PF06298"
"683","modern Bacteria","PF06303"
"684","modern Bacteria","PF06335"
"685","modern Bacteria","PF06411"
"686","modern Bacteria","PF06412"
"687","modern Bacteria","PF06476"
"688","modern Bacteria","PF06485"
"689","modern Bacteria","PF06486"
"690","modern Bacteria","PF06491"
"691","modern Bacteria","PF06526"
"692","modern Bacteria","PF06528"
"693","modern Bacteria","PF06532"
"694","modern Bacteria","PF06568"
"695","modern Bacteria","PF06569"
"696","modern Bacteria","PF06572"
"697","modern Bacteria","PF06577"
"698","modern Bacteria","PF06586"
"699","modern Bacteria","PF06587"
"700","modern Bacteria","PF06596"
"701","modern Bacteria","PF06611"
"702","modern Bacteria","PF06612"
"703","modern Bacteria","PF06620"
"704","modern Bacteria","PF06626"
"705","modern Bacteria","PF06649"
"706","modern Bacteria","PF06667"
"707","modern Bacteria","PF06676"
"708","modern Bacteria","PF06686"
"709","modern Bacteria","PF06693"
"710","modern Bacteria","PF06724"
"711","modern Bacteria","PF06748"
"712","modern Bacteria","PF06761"
"713","modern Bacteria","PF06781"
"714","modern Bacteria","PF06785"
"715","modern Bacteria","PF06790"
"716","modern Bacteria","PF06791"
"717","modern Bacteria","PF06793"
"718","modern Bacteria","PF06794"
"719","modern Bacteria","PF06796"
"720","modern Bacteria","PF06799"
"721","modern Bacteria","PF06823"
"722","modern Bacteria","PF06844"
"723","modern Bacteria","PF06853"
"724","modern Bacteria","PF06854"
"725","modern Bacteria","PF06855"
"726","modern Bacteria","PF06890"
"727","modern Bacteria","PF06892"
"728","modern Bacteria","PF06904"
